Nom_du_festival,Code_postal_(de_la_commune_principale_de_deroulement),Commune_principale_de_deroulement,Region_principale_de_deroulement,Annee_de_creation_du_festival,Discipline_dominante,Site_internet_du_festival,Latitude,Longitude,Debut,Fin
Les Nuits (Re)Belles,39800,Brainans,Bourgogne-Franche-Comté,2014,Musique,http://www.moulindebrainans.com/wp-content/uploads/2017/06/Depliant_LesNuitsReBelles4.pdf,46.8746666632,5.6278782462,juin,septembre
Y'A Pas L'Feu,62149,Cambrin,Hauts-de-France,2014,Musique,www.festival-yapaslfeu.com,50.5116047377,2.73659179875,janvier,juin
Festival Du Jeune Art Russe,6414,Cannes,Provence-Alpes-Côte d'Azur,2019,Musique,www.palaisdesfestivals.com,43.587465146,7.10635418256,juin,septembre
Festival De Musique De Cordes-Sur-Ciel,81170,Cordes-sur-Ciel,Occitanie,1971,Musique,https://www.festivalcordessurciel.com/,44.0681683828,1.95360871103,juin,septembre
Les Rencontres De La Cinémathèque Montagne,5000,Gap,Provence-Alpes-Côte d'Azur,2009,"Cinéma, audiovisuel",www.cimalpes.fr,44.5798600596,6.06486052138,septembre,décembre
Jazz À La Sout,23000,Guéret,Nouvelle-Aquitaine,1998,Musique,www.jazzalasout.com,46.1632121428,1.87078672735,septembre,décembre
Bouge Ton Cube,56190,Lauzach,Bretagne,2011,Musique,Facebook lafarique56,47.6111902718,-2.55589461102,janvier,juin
Festival Du Livre De Marseille,13008,Marseille,Provence-Alpes-Côte d'Azur,2018,"Livre, littérature",festivaldulivredemarseille.com,43.296346,5.369889,septembre,décembre
Némo - Biennale Internationale Des Arts Numériques,75019,Paris,Île-de-France,2015,"Arts visuels, arts numériques",https://www.biennalenemo.fr/,48.886868623,2.38469432787,septembre,décembre
Transat En Ville,35000,Rennes,Bretagne,2003,Musique,transatenville.fr,48.1119791219,-1.68186449144,juin,septembre
Festival De Musique Ancienne De Ribeauvillé,68150,Ribeauvillé,Grand Est,1984,Musique,festival-musique-ancienne-ribeauville,48.2065139236,7.28672468283,septembre,décembre
Summer Vibration Festival,67600,Sélestat,Grand Est,2014,Musique,www.zone51.net,48.2481136279,7.46224896454,septembre,décembre
Jazz In Trivy,71520,Trivy,Bourgogne-Franche-Comté,1998,Musique,https://www.jazzintrivy.frr,46.3907231408,4.48743569605,janvier,juin
Festival Du Premier Film D'Annonay,7100,Annonay,Auvergne-Rhône-Alpes,1983,"Cinéma, audiovisuel",http://www.annonaypremierfilm.org,45.2460902392,4.65026947295,janvier,juin
Les Feuilles D'Automne,4370,Colmars,Provence-Alpes-Côte d'Azur,2014,"Livre, littérature",5saisons-colmars.fr,44.1724272821,6.6615406144,septembre,décembre
Voyages Imaginaires,2720,Homblières,Hauts-de-France,2018,Spectacle vivant,www.mclgauchy.fr,49.8577543083,3.37495127984,juin,septembre
Festival Russe,13003,Marseille,Provence-Alpes-Côte d'Azur,1995,Pluridisciplinaire,www.toursky.fr,43.296346,5.369889,janvier,juin
Hip Opsession,44000,Nantes,Pays de la Loire,2005,Musique,http://www.hipopsession.com,47.2316356767,-1.54831008605,janvier,juin
Midi-Minuit Poésie,44000,Nantes,Pays de la Loire,2014,"Livre, littérature",http://maisondelapoesie-nantes.com/category/midiminuitpoesie/,47.2316356767,-1.54831008605,septembre,décembre
Rise And Fall Festival,79000,Niort,Nouvelle-Aquitaine,2017,Musique,http://www.riseandfallfestival.com/,46.328260242,-0.465353019369,septembre,décembre
Foire Internationale D'Art Contemporain - Fiac,75007,Paris,Île-de-France,1974,"Arts visuels, arts numériques",https://www.fiac.com/,48.8560825982,2.31243868773,septembre,décembre
Rootstock Festival À Pommard,21200,Pommard,Bourgogne-Franche-Comté,2017,Musique,http://rootstockburgundy.com,47.0136884402,4.79517699243,juin,septembre
Psymind Origins,13840,Rognes,Provence-Alpes-Côte d'Azur,2017,Musique,www.psymind.fr,43.6648781836,5.35218247017,juin,septembre
Les Festives De Music'Halle,31000,Toulouse,Occitanie,2014,Musique,"https://www.ladepeche.fr/2019/06/19/les-festives-font-exploser-les-rythmes-a-musichalle,8265208.php",43.5963814303,1.43167293364,juin,septembre
Rock In The Barn,27630,Vexin-sur-Epte,Normandie,2010,Musique,https://www.rockinthebarn.com/,49.1515466021,1.59773112902,septembre,décembre
Festival De Bande Dessinée D'Humour,7450,Burzet,Auvergne-Rhône-Alpes,2004,"Livre, littérature",https://auvergnerhonealpes-livre-lecture.org/annuaires/manifestations/2234,44.748232889,4.23385605882,septembre,décembre
Contes Givrés,71220,Chevagny-sur-Guye,Bourgogne-Franche-Comté,1999,"Livre, littérature",Www.association-antipodes.fr,46.5403336038,4.50069717167,septembre,décembre
Hippocampus,63000,Clermont-Ferrand,Auvergne-Rhône-Alpes,1999,Musique,www.festival-hippocampus.com,45.7856492991,3.11554542903,janvier,juin
Hello Birds,76790,Etretat,Normandie,2013,Musique,https://etretat.hellobirdsfestival.fr/,49.704733151,0.205304793744,juin,septembre
La Vallée Des Livres,5120,L'Argentière-La Bessée,Provence-Alpes-Côte d'Azur,2001,"Livre, littérature",www.livreslargentiere.sitew.com,44.7821732712,6.47214497323,juin,septembre
Sancy Snow Jazz,63240,Le Mont-Dore,Auvergne-Rhône-Alpes,1989,Musique,https://www.sancy-snowjazz.com/,45.5760999131,2.80995918175,janvier,juin
Blues Roots Festival,13590,Meyreuil,Provence-Alpes-Côte d'Azur,2019,Musique,https://festival.ville-meyreuil.fr/billetterie-concerts-blues-roots-festival/,43.4910522546,5.50062811927,septembre,décembre
C'Est Pas Classique,6300,Nice,Provence-Alpes-Côte d'Azur,2004,Musique,https://cpc.departement06.fr/c-est-pas-classique-9876.html,43.7119992661,7.23826889465,septembre,décembre
Conc'Air,68300,Saint-Louis,Grand Est,01/01/2005 00:00,Musique,http://www.concair.alsace/,47.6016553367,7.54061872745,juin,septembre
Tempos Du Monde,40990,Saint-Paul-lès-Dax,Nouvelle-Aquitaine,2000,Musique,http://www.temposdumonde.com/,43.7464083139,-1.08127980711,juin,septembre
L'Été Au Château,13300,Salon-De-Provence,Provence-Alpes-Côte d'Azur,2014,Pluridisciplinaire,www.salon-de-provence.fr,43.6462885238,5.06814649576,juin,septembre
Saulxures Festi'Lac,88290,Saulxures-sur-Moselotte,Grand Est,01/01/2017 00:00,Musique,http://festilac.saulxures-sur-moselotte.fr/,47.9512129215,6.77493861259,juin,septembre
Jazz Dans Le Bocage,3240,Tronget,Auvergne-Rhône-Alpes,1998,Musique,www.jazzdanslebocage.com,46.418633391,3.08862365583,juin,septembre
Un Doua De Jazz,69100,Villeurbanne,Auvergne-Rhône-Alpes,26ème,Musique,www.undouadejazz.com,45.7707704179,4.88845817426,septembre,décembre
"Les Suds, En Hiver",13200,Arles,Provence-Alpes-Côte d'Azur,2017,Musique,www.suds-arles.com,43.5468692378,4.66215642574,janvier,juin
Les Musicales Du Golfe,56610,Arradon,Bretagne,1992,Musique,www.musicalesdugolfe.com,47.6335958588,-2.8220328139,juin,septembre
Festival Du Paon,4150,Banon,Provence-Alpes-Côte d'Azur,2016,Spectacle vivant,www.festivaldupaon.com,44.0269448077,5.64964715248,juin,septembre
Festidreuz,29170,Fouesnant,Bretagne,2004,Musique,Festidreuz,47.8783078862,-4.01834628474,juin,septembre
Roscella Bay Festival,17000,La Rochelle,Nouvelle-Aquitaine,2015,Musique,http://www.roscellabay.fr,46.1620643972,-1.17465702836,septembre,décembre
Les Malins Plaisirs,62588,Montreuil-sur-Mer,Hauts-de-France,1989,Spectacle vivant,https://www.lesmalinsplaisirs.com/les-malins-plaisirs/,50.4655272073,1.77098646216,juin,septembre
Vercors Music Festival,38880,Autrans,Auvergne-Rhône-Alpes,2015,Musique,www.vercorsmusicfestival.com,45.1321769623,5.52869303726,juin,septembre
Les Nuits Des Arènes,75005,Paris,Île-de-France,2015,Musique,http://www.nuitsdesarenes.com,48.8567,2.3508,juin,septembre
Festival Du Rocher,26700,Pierrelatte,Auvergne-Rhône-Alpes,2016,Musique,https://26.agendaculturel.fr/festival/festival-du-rocher-2022.html,44.3606937732,4.68715113615,juin,septembre
Arcachon En Scène,33120,Arcachon,Nouvelle-Aquitaine,2016,Musique,http://www.ville-arcachon.fr/,44.6529002838,-1.17429790933,juin,septembre
Alest,76000,Rouen,Normandie,2002,"Cinéma, audiovisuel",Www.alestfestival.com,49.4413460103,1.09256784278,janvier,juin
Explos Film Festival,9110,Ax-Les-Thermes,Occitanie,2008,"Cinéma, audiovisuel",https://explos-festival.com/,42.6873576342,1.81825994194,septembre,décembre
Festival Du Polar,6700,Saint-Laurent-du-Var,Provence-Alpes-Côte d'Azur,2018,"Livre, littérature",saintlaurentduvar.fr,43.6859625772,7.18218791815,septembre,décembre
Smr13 - Festival International Du Film Indépendant,13920,Saint-Mitre-Les-Remparts,Provence-Alpes-Côte d'Azur,2015,"Cinéma, audiovisuel",https://smr13filmfestival.com/,43.4554029916,5.01494725455,septembre,décembre
Toros Y Salsa,40100,Dax,Nouvelle-Aquitaine,1995,Musique,http://www.dax.fr/,43.7006746973,-1.06014429759,septembre,décembre
Rock'N'Live,78500,Sartrouville,Île-de-France,01/01/2004 00:00,Musique,https://rocknlive.jimdo.com,48.9396085498,2.17458686513,septembre,décembre
Jazz À Foix,9000,Foix,Occitanie,2000,Musique,jazzfoix.com,42.9658502274,1.61037495894,juin,septembre
Le Cabaret Vert,8000,Charleville-Mézières,Grand Est,2005,Musique,www.cabaretvert.com,49.7752965803,4.71724655966,juin,septembre
Tambours De Fête,8000,Charleville-Mézières,Grand Est,1998,Musique,www.tamboursdefete.com,49.7752965803,4.71724655966,janvier,juin
Liv'In Embrun,5200,Embrun,Provence-Alpes-Côte d'Azur,2011,Musique,wwww.ville-embrun.fr,44.5804294908,6.47559298927,juin,septembre
Tous Dehors (Enfin !),5000,Gap,Provence-Alpes-Côte d'Azur,2012,Spectacle vivant,www.theatre-la-passerelle.eu,44.5798600596,6.06486052138,septembre,décembre
Imaginarium,60280,Margny-lès-Compiègne,Hauts-de-France,2014,Musique,Le Tigre Évènement,49.4329968709,2.8054861143,janvier,juin
Forts En Fête,5100,Briançon,Provence-Alpes-Côte d'Azur,2010,Musique,http://associationtousenscene.e-monsite.com/,44.8994986041,6.64947524018,juin,septembre
Ateliers Jazz,53170,Meslay-du-Maine,Pays de la Loire,1998,Musique,www.festivaljazz-meslay.com,47.9469156243,-0.558693863131,janvier,juin
Festi'Folk,13410,Lambesc,Provence-Alpes-Côte d'Azur,2008,Musique,http://openagenda.com/cofals,43.6615217681,5.25191446931,juin,septembre
Art Paris Art Fair,75010,Paris,Île-de-France,1999,"Arts visuels, arts numériques",https://www.artparis.com/fr,48.8760285569,2.36111290456,janvier,juin
Asia Now,75016,Paris,Île-de-France,2015,"Arts visuels, arts numériques",https://www.asianowparis.com/,48.8603987604,2.2620995594,septembre,décembre
Festival De Cinéma Argentique,30129,Redessan,Occitanie,2015,"Cinéma, audiovisuel",www.boyer-cinema.fr,43.8345466774,4.51298942933,septembre,décembre
Abracada'Sons,47800,Miramont-de-Guyenne,Nouvelle-Aquitaine,2001,Musique,http://staccato-asso-47.blogspot.fr/,44.5833450029,0.356429133423,septembre,décembre
L'Automne De Morthomiers,18570,Morthomiers,Centre-Val de Loire,2012,Musique,www.automne-morthomiers.com,47.0436630553,2.27235598629,septembre,décembre
Festival De Saint-Denis,93200,Saint-Denis,Île-de-France,1969,Musique,https://festival-saint-denis.com/fr/,48.9295650455,2.3592429975,janvier,juin
Les Rendez Vous De L'Erdre,44000,Nantes,Pays de la Loire,1987,Musique,rendezvouserdre.com,47.2316356767,-1.54831008605,juin,septembre
Fédéchansons,78100,Saint-Germain-en-Laye,Île-de-France,01/01/2012 00:00,Musique,www.fedechansons.fr,48.9407041394,2.09870929375,septembre,décembre
Festival De L'Alpage,5260,Saint-Jean-Saint-Nicolas,Provence-Alpes-Côte d'Azur,2016,Pluridisciplinaire,www.champsaur-valgaudemar.fr,44.6744954225,6.23085847467,juin,septembre
Lignes De Crêtes,5260,Saint-Jean-Saint-Nicolas,Provence-Alpes-Côte d'Azur,2012,"Livre, littérature",www.champsaur-valgaudemar.com,44.6744954225,6.23085847467,septembre,décembre
Maisons-Laffitte Jazz Festival,78600,Maisons-Laffitte,Île-de-France,2005,Musique,http://www.maisons-laffitte-jazz-festival.com/,48.9523369002,2.15161594901,juin,septembre
Étrange Cargo,75011,Paris,Île-de-France,1997,Spectacle vivant,www.menagerie-de-verre.org/,48.8594154976,2.37874106024,janvier,juin
Festival De L'Astre,75018,Paris,Île-de-France,01/01/2014 00:00,Spectacle vivant,http://cie-astre.com/,48.8927350746,2.34871193387,janvier,juin
Ouvre La Voix,33360,Sauveterre-de-Guyenne,Nouvelle-Aquitaine,2013,Musique,fr-fr.facebook.com/FestivalOuvreLaVoix/,44.7005227855,-0.0766193491952,juin,septembre
Paris Des Femmes,75002,Paris,Île-de-France,01/01/2012 00:00,Spectacle vivant,www.parisdesfemmes.com,48.8679033789,2.34410716666,janvier,juin
Electro Alternativ,31000,Toulouse,Occitanie,2004,Musique,https://www.electro-alternativ.com/ // https://regarts.eu/,43.5963814303,1.43167293364,septembre,décembre
7Ème Lune,75017,Paris,Île-de-France,2014,"Cinéma, audiovisuel",http://www.7emelune.com,48.8873371665,2.30748555949,janvier,juin
Insane Festival,84400,Apt,Provence-Alpes-Côte d'Azur,2015,Musique,https://insanefestival.com/,43.879393265,5.38921757843,juin,septembre
Wave O'Sound,44600,Saint-Nazaire,Pays de la Loire,2015,Musique,https://www.lmpmusique.fr/,47.2802857028,-2.25379927249,janvier,juin
Stéréoparc,17300,Rochefort,Nouvelle-Aquitaine,2018,Musique,stereoparc.com,45.9432344536,-0.972356445692,juin,septembre
Pete The Monkey,76740,Saint-Aubin-sur-Mer,Normandie,2010,Musique,www.petethemonkeyfestival.com,49.8888204893,0.875914099002,juin,septembre
Musica(E)L,92014,Bourg-la-Reine,Île-de-France,01/01/2017 00:00,Musique,http://caelmjc.com,48.7799073627,2.31643010763,janvier,juin
Les Musicales Du Parc Des Oiseaux,1330,Villars-les-Dombes,Auvergne-Rhône-Alpes,2010,Musique,http://musicales.parcdesoiseaux.com,45.9927150222,5.04507856642,juin,septembre
Plane'R Fest,69124,Colombier-saugnieu,Auvergne-Rhône-Alpes,2012,Musique,http://www.planerfest.com,45.7178013267,5.10337456661,juin,septembre
Couleurs Urbaines,83000,Toulon,Provence-Alpes-Côte d'Azur,2016,Musique,www.festival-couleursurbaines.com,43.1361589728,5.93239634249,septembre,décembre
Oasis Bizz'Art,26220,Dieulefit,Auvergne-Rhône-Alpes,1991,Musique,www.bizzartnomade.net,44.5310329912,5.06528375642,juin,septembre
Hadra Trance Festival,3430,Vieure,Auvergne-Rhône-Alpes,2005,Musique,www.hadratrancefestival.net,46.5001110432,2.88222237454,juin,septembre
Chien À Plumes,52190,Villegusien,Grand Est,1997,Musique,www.chienaplumes.fr,47.7309169271,5.31298003747,juin,septembre
Blues En Mars,59150,Wattrelos,Hauts-de-France,2010,Musique,https://www.ville-wattrelos.fr/Modules/Actualites/En-mars-on-a-le-blues-oh-yeah,50.7056367285,3.21628221056,janvier,juin
Nature Ain,1110,Hauteville-Lompnès,Auvergne-Rhône-Alpes,2013,Pluridisciplinaire,https://festival-nature-ain.fr,45.9696520061,5.57627261783,janvier,juin
Rencontres Poétiques,2400,Château-Thierry,Hauts-de-France,2021,"Livre, littérature",http://www.chateau-thierry.fr,49.0564070801,3.38160004843,janvier,juin
Les Nuits D'Istres,13800,Istres,Provence-Alpes-Côte d'Azur,1992,Musique,www.istres.fr,43.5502689105,4.9511813524,juin,septembre
Les Heures Musicales De L'Abbaye De Lessay,50430,Lessay,Normandie,1994,Musique,www.heuresmusicalesdelessay.com,49.2167143742,-1.52478862014,juin,septembre
Montagne Et Musique,91120,Palaiseau,Île-de-France,01/01/1996 00:00,Pluridisciplinaire,www.Fetedelamontagne.com,48.7146765876,2.22881488083,septembre,décembre
Africolor,75010,Paris,Île-de-France,1989,Musique,www.africolor.com,48.8760285569,2.36111290456,septembre,décembre
Jazz Métis,93100,Montreuil,Île-de-France,01/01/2011 00:00,Musique,https://festivaljazzmetis.wordpress.com,48.8633175054,2.44816211857,septembre,décembre
Rock This Town,64000,Pau,Nouvelle-Aquitaine,2008,Musique,http://www.lemelies.net,43.3200189773,-0.350337918181,janvier,juin
Faltazi,29000,Quimper,Bretagne,2019,"Cinéma, audiovisuel",https://krouin.fr,47.9971425162,-4.09111944455,janvier,juin
Camping,93500,Pantin,Île-de-France,02/01/2015 00:00,Spectacle vivant,https://www.cnd.fr/fr/page/33-camping,48.8983093876,2.40872147475,juin,septembre
Decibels Vendanges,75018,Paris,Île-de-France,01/01/2018 00:00,Musique,www.fetedesvendangesdemontmartre.com/evenement/decibels-vendanges,48.8927350746,2.34871193387,septembre,décembre
Festival D'Automne À Paris,75001,Paris,Île-de-France,1972,Pluridisciplinaire,www.festival-automne.com,48.8626304852,2.33629344655,septembre,décembre
Festival Du Conte De Saurat,9400,Saurat,Occitanie,2001,Spectacle vivant,https://spectaclesetcontes.org/,42.883738441,1.50479848751,juin,septembre
Marvellous Island Festival,77200,Torcy,Île-de-France,2013,Musique,www.marvellous-island.fr,48.8532553496,2.65123227423,juin,septembre
Nuit Du Trad,9200,Saint-Girons,Occitanie,2009,Spectacle vivant,"https://www.azinat.com/2021/11/saint-girons-la-nuit-du-trad-2021-les-5-et-6-novembre/#:~:text=La%20Nuit%20du%20Trad'%202021%20fait%20son%20grand%20retour%20pour,100%20ans%20du%20groupe%20Biroussan.",42.9752923045,1.15326595533,septembre,décembre
Tartine Festival,73260,Grand-Aigueblanche,Auvergne-Rhône-Alpes,2015,Musique,http://www.tartine-festival.com/,45.5198646844,6.51470725301,septembre,décembre
Salon Du Livre Libanais Francophone,13100,Aix-en-Provence,Provence-Alpes-Côte d'Azur,2015,"Livre, littérature",www.aix-jumelages.com,43.5360708378,5.39857444582,janvier,juin
Poétik Park,2000,Ajaccio,Corse,2019,Pluridisciplinaire,https://www.nanomusic.fr/poetik-park,41.9347926638,8.70132275974,janvier,juin
Fantasy,6220,Vallauris Golfe-Juan,Provence-Alpes-Côte d'Azur,2019,"Livre, littérature",https://www.facebook.com/festivalfantasyvallauris,43.5766472999,7.05836612893,septembre,décembre
7 Bis Chemin De Traverse,1000,Bourg-en-Bresse,Auvergne-Rhône-Alpes,2005,Musique,www.resonancecontemporaine.org,46.2051520382,5.24602125501,janvier,juin
Les Nuits & Les Jours De Querbes,12700,Capdenac-Gare,Occitanie,1998,Musique,www.querbes.fr,44.5596095618,2.06863929998,juin,septembre
Les Bichoiseries,61100,Cerisy-Belle-Etoile,Normandie,2004,Musique,www.bichoiseries.com,48.7831815078,-0.623679681205,juin,septembre
Jazz And Cheese,5350,Chateau-Ville-Vieille,Provence-Alpes-Côte d'Azur,2010,Musique,www.jazzandcheese.fr,44.7677289666,6.8000656504,juin,septembre
Assises De La Traduction Littéraire,13200,Arles,Provence-Alpes-Côte d'Azur,1984,"Livre, littérature",www.atlas-citl.org/assises-traduction-litteraire,43.5468692378,4.66215642574,septembre,décembre
En Mai Pépète Lumière Fait Ce Qu'Il Lui Plaît,71250,Cluny,Bourgogne-Franche-Comté,2009,Musique,www.pepete-lumiere.com,46.4303628582,4.67033276327,janvier,juin
Festi Domp,3290,Dompierre-sur-Besbre,Auvergne-Rhône-Alpes,2013,Musique,festidomp.wixsite.com,46.5305895294,3.67644076991,juin,septembre
Festival Opus - Opéra Lyrique De Gattières,6510,Gattières,Provence-Alpes-Côte d'Azur,1990,Musique,https://opus-opera.com,43.7652195423,7.16877468184,juin,septembre
Magic Bus,38000,Grenoble,Auvergne-Rhône-Alpes,1999,Musique,www.festival-magicbus.fr,45.1821215167,5.72133051752,janvier,juin
Art-O-Rama,13003,Marseille,Provence-Alpes-Côte d'Azur,2019,"Arts visuels, arts numériques",http://art-o-rama.fr,43.296346,5.369889,juin,septembre
L'Oreille Absolue Fait Son Cirque,68220,Michelbach-le-Haut,Grand Est,01/01/2009 00:00,Spectacle vivant,www.loreilleabsoluefaitsoncirque.fr,47.5627694258,7.43780573745,janvier,juin
Les 3 Éléphants,53000,Laval,Pays de la Loire,1998,Musique,Www.les3elephants.com,48.0608565468,-0.766005687142,janvier,juin
Days Off,75019,Paris,Île-de-France,01/01/2010 00:00,Musique,www.daysoff.fr,48.886868623,2.38469432787,juin,septembre
Musiques Interdites,13002,Marseille,Provence-Alpes-Côte d'Azur,2004,Musique,www.musiques-interdites.fr,43.296346,5.369889,septembre,décembre
Mama,75019,Paris,Île-de-France,02/01/2009 00:00,Musique,www.mamafestival.com,48.886868623,2.38469432787,septembre,décembre
Off Paris,75010,Paris,Île-de-France,01/01/2019 00:00,Musique,http://www.pointephemere.org/event/OFFF-dhiver-ByinrIe6m,48.8567,2.3508,janvier,juin
Rouxteur Festival,93400,Saint-Ouen,Île-de-France,01/01/2017 00:00,Pluridisciplinaire,https://www.mainsdoeuvres.org,48.909806575,2.33257042205,septembre,décembre
Les Arts Dans La Bulle,3270,Saint-Yorre,Auvergne-Rhône-Alpes,2010,Spectacle vivant,https://www.ville-saint-yorre.fr/,46.0642575713,3.46749665689,juin,septembre
Ardenn'Rock,8460,Signy-l'Abbaye,Grand Est,1994,Musique,https://fr-fr.facebook.com/ArdennRock/,49.7029435011,4.40415204398,juin,septembre
Les Riches Heures Musicales De La Rotonde,4150,Simiane-La-Rotonde,Provence-Alpes-Côte d'Azur,1982,Musique,http://festival-simiane.com,43.9838128235,5.56248994589,juin,septembre
Salon Du Livre Ancien Et D'Occasion,3210,Souvigny,Auvergne-Rhône-Alpes,1999,"Livre, littérature",https://auvergnerhonealpes-livre-lecture.org/annuaires/manifestations/1888,46.5243440423,3.18992960249,septembre,décembre
Sème La Culture,8000,Renwez,Grand Est,2004,Spectacle vivant,http://www.semelaculture.com,49.8491275921,4.60517090507,septembre,décembre
Wolfi Jazz,67202,Wolfisheim,Grand Est,2011,Musique,https://www.wolfijazz.com/,48.5869426788,7.66313638698,juin,septembre
Guitare En Scène,74160,Saint-Julien-en-Genevois,Auvergne-Rhône-Alpes,2007,Musique,http://www.guitare-en-scene.com,46.139365545,6.07881171095,juin,septembre
Festival D'Ambronay,1500,Ambronay,Auvergne-Rhône-Alpes,1980,Musique,www.ambronay.org,46.0055913782,5.35760660735,septembre,décembre
Tempo Rives,49000,Angers,Pays de la Loire,2009,Musique,www.temporives.fr,47.476837416,-0.556125995444,juin,septembre
Marckolswing !,67600,Sélestat,Grand Est,02/01/2006 00:00,Musique,www.marckolswing.fr,48.2481136279,7.46224896454,septembre,décembre
Talant International Blues Festival,21240,Talant,Bourgogne-Franche-Comté,2014,Musique,www.jagoblues.com,47.3388300285,4.99779516001,janvier,juin
Atlantique Jazz Festival,29200,Brest,Bretagne,2004,Musique,https://www.plages-magnetiques.org/atlantique-jazz-festival-bretagne/,48.4004997828,-4.5027907853,septembre,décembre
Festival Du Cinéma Japonais Kinotayo,6400,Cannes,Provence-Alpes-Côte d'Azur,1989,"Cinéma, audiovisuel",www.cinecroisette.com,43.5526202843,7.00427592728,janvier,juin
Plumiformes,81440,Lautrec,Occitanie,2013,Musique,https://81.agendaculturel.fr/festival/festival-plumiformes-2023.html,43.7052468491,2.12929403349,janvier,juin
Music O Teich,33470,Le Teich,Nouvelle-Aquitaine,1989,Musique,http://www.comitedesfetesleteich.fr/,44.5781043558,-1.02426702104,juin,septembre
Festival De Magie,85100,Les Sables-d'Olonne,Pays de la Loire,2010,Spectacle vivant,www.lessablesdolonne.fr,46.5007612799,-1.79255128677,janvier,juin
Jazz Et Garonne,47200,Marmande,Nouvelle-Aquitaine,2011,Musique,http://www.jazzetgaronne.com/,44.5055176845,0.172174280849,septembre,décembre
Piano Au Musée Würth,67150,Erstein,Grand Est,01/01/2016 00:00,Musique,www.musee-wurth.fr/activites-evenements/piano-au-musee-wurth,48.4213687934,7.68523629922,septembre,décembre
Les Émouvantes,13006,Marseille,Provence-Alpes-Côte d'Azur,2012,Musique,festival-emouvantes.fr,43.296346,5.369889,septembre,décembre
Festival De Rue De Couarail,57140,Norroy-le-Veneur,Grand Est,01/01/2008 00:00,Spectacle vivant,https://www.couarail-norroy.fr/,49.179562869,6.11099249211,janvier,juin
Le Mans Pop Festival,72000,Le Mans,Pays de la Loire,1993,Musique,www.lemanspopfestival.com,47.9885256718,0.200030493539,janvier,juin
Attention Les Feuilles !,74960,Meythet,Auvergne-Rhône-Alpes,2001,Musique,http://theatredescollines.annecy.fr/festivals/attention-les-feuilles/,45.8906432566,6.12551773598,septembre,décembre
Les Fadas Du Balduc,48000,Saint-Étienne-du-Valdonnez,Occitanie,2019,Musique,https://www.laregion.fr/Les-Fadas-de-Balduc,44.4420560828,3.57373923919,janvier,juin
La Route Du Rock,35400,Saint-Malo,Bretagne,1991,Musique,www.laroutedurock.com,48.6400443482,-1.98060627256,juin,septembre
Festival De La Chabriole,7360,Saint-Michel-de-Chabrillanoux,Auvergne-Rhône-Alpes,1976,Musique,https://www.chabriole.fr/,44.8373734527,4.61203758015,juin,septembre
Musiques En Vivarais Lignon,43190,Tence,Auvergne-Rhône-Alpes,2000,Musique,www.cc-hautlignon.fr,45.1133166621,4.3002040908,juin,septembre
Printemps De Septembre,31000,Toulouse,Occitanie,1991,Pluridisciplinaire,https://www.printempsdeseptembre.com/fr/le-festival,43.5963814303,1.43167293364,septembre,décembre
Foreztival,42130,Trelins,Auvergne-Rhône-Alpes,2005,Musique,www.foreztival.com,45.7251404881,4.00078301382,juin,septembre
See You In The Pit,34430,Saint-Jean-de-Vedas,Occitanie,2011,Musique,http://www.leguidedesfestivals.com/2010-see-you-in-the-pit-8258.html,43.5716282319,3.83221847952,juin,septembre
Rire Et Magie,7130,Saint-Péray,Auvergne-Rhône-Alpes,2017,Spectacle vivant,http://www.rire-et-magie.fr/,44.9410716967,4.82459034307,janvier,juin
La Poule Des Champs,51600,Aubérive,Grand Est,2006,Musique,www.lapouledeschamps.com,49.1972757573,4.41096827282,septembre,décembre
Bresstival,39140,Bletterans,Bourgogne-Franche-Comté,2015,Musique,http://www.bresstival.com/,46.7316211339,5.42781411933,septembre,décembre
Transfer,69100,Villeurbanne,Auvergne-Rhône-Alpes,2017,Musique,https://festivaltransfer.com/,45.7707704179,4.88845817426,janvier,juin
Nocturnes D'Opale,62200,Boulogne-sur-Mer,Hauts-de-France,2012,Musique,https://www.agglo-boulonnais.fr/information/agenda/festival-nocturnes-dopale-2022-harmonies-du-soir-1-1828,50.7271332663,1.60756334802,juin,septembre
Rencontres Du 9E Art,13100,Aix-en-Provence,Provence-Alpes-Côte d'Azur,2004,"Livre, littérature",BD-AIX.COM,43.5360708378,5.39857444582,janvier,juin
Altitude Jazz Festival,5100,Briançon,Provence-Alpes-Côte d'Azur,2007,Musique,www.altitudejazz.com,44.8994986041,6.64947524018,janvier,juin
Musical'Océan Été,33680,Lacanau,Nouvelle-Aquitaine,2009,Musique,http://www.musicalocean.com/,44.983404414,-1.10810794832,juin,septembre
Festival Résistances,9000,Foix,Occitanie,1997,"Cinéma, audiovisuel",https://festival-resistances.fr/,42.9658502274,1.61037495894,juin,septembre
Eole Factory Festival,78200,Mantes-la-Jolie,Île-de-France,2019,Musique,https://eolefactoryfestival.com/,48.9981665392,1.69337806821,septembre,décembre
Respire Jazz Festival,16190,Montmoreau,Nouvelle-Aquitaine,2009,Musique,http://www.respirejazzfestival.com/,45.4225777872,0.127349505692,juin,septembre
Percufolies,37240,Ligueil,Centre-Val de Loire,2007,Musique,https://www.percufolies.fr/,47.0423190397,0.817374235768,septembre,décembre
